S.No,Course Name,Slot Name,Units,Type,Instructor,Instructor Email,Lecture Time,Tutorial Time,Practical Time,Vacancy,Current Strength,Course Code
1,MINI PROJECT (AM),P,0.0-0.0-6.0,,SAANVI BORA,bhasindivyansh@am.iitd.ac.in,,,,30,7,AMD310
2,MAJOR PROJECT PART-I,P,0.0-0.0-12.0,,EMIR BHATIA,divit70@am.iitd.ac.in,,,,30,0,AMD811
3,MAJOR PROJECT PART-II,P,0.0-0.0-24.0,,EMIR BHATIA,divit70@am.iitd.ac.in,,,,30,31,AMD812
4,MAJOR PROJECT PART-I,P,0.0-0.0-12.0,,EMIR BHATIA,divit70@am.iitd.ac.in,,,,30,1,AMD813
5,MAJOR PROJECT PART-II,P,0.0-0.0-24.0,,EMIR BHATIA,divit70@am.iitd.ac.in,,,,30,4,AMD814
6,MAJOR PROJECT,P,0.0-0.0-80.0,,MOHANLAL HAYER,hkakar@am.iitd.ac.in,,,,30,2,AMD895
7,MINOR PROJECT,X,0.0-0.0-8.0,,BIJU GOUR,eladhingra@am.iitd.ac.in,,,,60,25,AMD897
8,APPLIED COMPUTATIONAL METHOD,F,3.0-0.0-2.0,,TAIMUR SAMI,shankarmiraya@am.iitd.ac.in,TThF 11:00-12:00,,,100,35,AML702
9,FINITE ELEMENT METHODS & ITS APPL.TO MARINE STRU.,B,3.0-0.0-0.0,,SAMIHA SURESH,dashalia@cc.iitd.ernet.in,MTh 09:30-11:00,,,100,32,AML706
10,APPLIED ELASTICITY,X,3.0-1.0-0.0,,STUVAN LATA,somantushar@am.iitd.ac.in,,,,60,9,AML731
11,SHIP DYNAMICS,X,3.0-0.0-0.0,,KIARA ISSAC,yakshitgola@am.iitd.ac.in,,,,60,25,AML793
12,SUBMARINE DESIGN,X,3.0-0.0-0.0,,BIJU GOUR,eladhingra@am.iitd.ac.in,,,,60,25,AML795
13,THEORY OF PLATES AND SHELLS,A,3.0-0.0-0.0,,ROHAN THAMAN,sahaehsaan@am.iitd.ernet.in,MTh 08:00-09:30,,,50,19,AML831
14,APPLICATIONS OF THEORY OF PLATES AND SHELLS,A,2.0-0.0-0.0,,INDRANS BEHL,vihaansodhi@am.iitd.ac.in,MTh 08:00-09:30,,,50,28,AML832
15,MECHANICS OF COMPOSITE MATERIALS,X,3.0-0.0-0.0,,TIYA BABU,gokul13@am.iitd.ac.in,,,,40,19,AML835
16,PRODUCT DESIGN PROJECT 1,F,2.0-0.0-4.0,,ANAHI GHOSH,rhea45@am.iitd.ac.in,TThF 11:00-12:00,,,60,19,AMP776
